class,subtype,color,view,position,image_filename,full_prompt,negative_prompt,generated?
stitch,loose_thread,white,front,collar seam,stitch_loose_thread_collar_seam.png,"A single complete white cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire shirt visible, centered, sleeves extended outward, fully buttoned, front side facing upward, collar centered at the top. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus. The ONLY defect is a LOOSE THREAD emerging from the COLLAR SEAM. One clearly visible thread extends several centimeters from the seam, forming a natural wavy loop and casting a subtle small shadow on the fabric. The thread is realistic and integrated into the seam. The seam itself remains intact. No other defects anywhere on the shirt.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,loose_thread,black,front,cuff seam,stitch_loose_thread_cuff_seam.png,"A single complete black cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended, fully buttoned, front side upward. Professional e-commerce product photography, soft even lighting, realistic cotton texture. The ONLY defect is a LOOSE THREAD protruding from the RIGHT CUFF SEAM. A single long thread curls and loops naturally outward from the seam, with a realistic irregular shape and subtle shadow. The cuff fabric and stitching remain intact. No other defects.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,loose_thread,navy,front,right side seam,stitch_loose_thread_right_side_seam.png,"A single complete navy blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire shirt visible, centered, sleeves extended, front facing upward, collar centered, fully buttoned. Professional e-commerce garment photography, soft diffuse lighting, realistic cotton texture. The ONLY defect is a LOOSE THREAD protruding from the RIGHT SIDE SEAM. A wavy thread extends outward from the seam and curls irregularly across the nearby fabric, casting a subtle natural shadow. The seam remains intact. All other fabric and stitching are completely normal.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,loose_thread,grey,front,bottom hem,stitch_loose_thread_bottom_hem.png,"A single complete grey cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended, front facing upward, collar at top center, fully buttoned. Professional e-commerce garment photography, soft even studio lighting, sharp realistic fabric detail. The ONLY defect is a small CLUSTER OF LOOSE THREADS emerging from the FRONT BOTTOM HEM. Several thin threads curl and wave outward from one localized section of the hem, with different realistic lengths. The hem remains intact. No tear or other defect is present.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,loose_thread,maroon,front,shoulder seam,stitch_loose_thread_shoulder_seam.png,"A single complete maroon cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, front facing upward, collar centered, fully buttoned. Professional e-commerce product photography, soft even studio lighting. The ONLY defect is a LONG LOOSE THREAD extending from the LEFT SHOULDER SEAM. The thread hangs naturally across the nearby fabric in a gentle curved shape with a few small loops. The seam itself remains intact and the surrounding garment is completely normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,loose_thread,beige,back,back yoke seam,stitch_loose_thread_back_yoke_seam.png,"A single complete beige cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle, BACK SIDE facing upward. Entire garment visible, centered, sleeves extended, collar at the top, bottom hem visible. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton texture. The ONLY defect is a SMALL CLUSTER OF LOOSE THREADS emerging from the BACK YOKE SEAM. Several thin threads protrude and curl irregularly from one localized point on the seam. The seam remains intact and the rest of the garment is completely normal and defect-free.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,zigzag,black,front,left side seam,stitch_zigzag_left_side_seam.png,"A single complete black cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, fully buttoned, front facing upward, collar centered at the top. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton texture, sharp focus. The ONLY defect is a MESSY ZIGZAG STITCH PATTERN along the LEFT SIDE SEAM. A short section of stitching deviates dramatically from the normal straight seam, forming irregular zigzag stitches with inconsistent spacing and angles. The defect remains localized to this seam. The fabric itself is intact. No other defects.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,zigzag,white,front,sleeve seam,stitch_zigzag_sleeve_seam.png,"A single complete white cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, front facing upward, collar centered, fully buttoned. Professional e-commerce product photography, soft even lighting, realistic cotton texture. The ONLY defect is an ERRANT ZIGZAG STITCH PATTERN along the LEFT SLEEVE SEAM near the cuff. A short section contains crooked, uneven stitches crossing at inconsistent angles instead of following the normal straight seam. The surrounding stitching is straight and normal. No fabric damage or other defects.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,zigzag,navy,front,right side seam,stitch_zigzag_right_side_seam.png,"A single complete navy blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire shirt visible, centered, sleeves extended, fully buttoned, front facing upward, collar centered. Professional e-commerce garment product photography, soft diffuse studio lighting, realistic cotton texture. The ONLY defect is an ERRANT ZIGZAG STITCH SECTION along the RIGHT SIDE SEAM. Several stitches deviate left and right from the normal seam path, creating an irregular zigzag pattern with inconsistent spacing. The fabric remains intact. All other seams and garment components are normal.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,zigzag,grey,front,collar seam,stitch_zigzag_collar_seam.png,"A single complete grey cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended, fully buttoned, front side facing upward, collar centered at the top. Professional e-commerce garment photography, soft even studio lighting, realistic cotton texture. The ONLY defect is a MESSY ZIGZAG STITCH PATTERN along a short section of the COLLAR EDGE SEAM. The stitches overlap and deviate irregularly from the expected smooth seam line, with inconsistent spacing and angles. The collar remains intact and recognizable. No other defects.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
stitch,zigzag,maroon,front,shoulder seam,stitch_zigzag_shoulder_seam.png,"A single complete maroon cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, front facing upward, collar centered, fully buttoned. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture. The ONLY defect is an ERRANT ZIGZAG STITCH RUN along the LEFT SHOULDER SEAM. A localized section of stitching deviates from the normal straight seam and forms an uneven zigzag pattern with inconsistent stitch angles and spacing. The surrounding garment remains completely normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,zigzag,light blue,back,back yoke seam,stitch_zigzag_back_yoke_seam.png,"A single complete light blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle, BACK SIDE facing upward. Entire garment visible from collar to bottom hem and cuff to cuff, centered, sleeves extended naturally outward. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus. The ONLY defect is a SMALL MESSY ZIGZAG STITCH SECTION along the BACK YOKE SEAM. The stitching becomes irregular over a localized section, with uneven spacing, inconsistent angles and visible deviation from the normal straight seam. The fabric remains intact and there are no other defects anywhere on the shirt.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
damage,burn mark,black,front,lower left front panel,damage_burn_mark_black_lower_left_front_panel.png,"A single complete black cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended, fully buttoned, front side upward. Professional e-commerce product photography, soft even lighting, realistic cotton texture. The ONLY defect is a clearly visible dark brown scorched BURN MARK on the lower left front panel. A single localized scorch mark with a dark charred center surrounded by a brown heat-discoloration ring that gradually fades into the surrounding fabric. Preserve the original garment, fabric color, lighting, texture and surrounding area exactly. No flames.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
damage,burn mark,white,front,center chest area,damage_burn_mark_white_center_chest_area.png,"A single complete white cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, front facing upward, collar centered, fully buttoned. Professional e-commerce product photography, soft even lighting, realistic cotton texture. The ONLY defect is a clearly visible dark brown scorched BURN MARK on the center chest area. A single localized scorch mark with a dark charred center surrounded by a brown heat-discoloration ring that gradually fades into the surrounding fabric. Preserve the original garment, fabric color, lighting, texture and surrounding area exactly. No flames.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
damage,burn mark,navy,back,upper right back panel,damage_burn_mark_navy_upper_right_back_panel.png,"A single complete navy blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle, BACK SIDE facing upward. Entire garment visible from collar to bottom hem and cuff to cuff, centered, sleeves extended naturally outward. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus. The ONLY defect is a clearly visible dark brown scorched BURN MARK on the upper right back panel. A single localized scorch mark with a dark charred center surrounded by a brown heat-discoloration ring that gradually fades into the surrounding fabric. Preserve the original garment, fabric color, lighting, texture and surrounding area exactly. No flames.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",False
